id;station_name
1670;Rome
1672;Rue de la Pompe (Avenue Georges Mandel)
1673;Rue des Boulets
1674;Rue du Bac
1693;Rue Saint-Maur
1680;Saint-Ambroise
1681;Saint-Augustin
22439;Saint-Denis-Porte de Paris
50399;Saint-Denis-Universite
1684;Saint-Fargeau
1685;Saint-Francois-Xavier
1686;Saint-Georges
1687;Saint-Germain des Prés
1688;Saint-Jacques
1689;Saint-Lazare
1690;Saint-Mandé
1691;Saint-Marcel
1694;Saint-Michel
1695;Saint-Paul (Le Marais)
1696;Saint-Philippe du Roule
1697;Saint-Placide
1699;Saint-Sébastien-Froissart
1698;Saint-Sulpice
1631;Ségur
1702;Sentier
1632;Sèvres-Babylone
1633;Sèvres-Lecourbe
1621;Simplon
1622;Solférino
1627;Stalingrad
1628;Strasbourg-Saint-Denis
1630;Sully-Morland
55329;Telegraphe
1634;Temple
1635;Ternes
1636;Tolbiac
1638;Trinité-d'Estienne d'Orves
1639;Trocadéro
1640;Tuileries
1643;Vaneau
1644;Varenne
1645;Vaugirard (Adolphe Chérioux)
1646;Vavin
1648;Victor Hugo
1650;Villejuif-Léo Lagrange
1649;Villejuif-Louis Aragon
1651;Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse)
1654;Villiers
1656;Volontaires
1657;Voltaire (Léon Blum)
1658;Wagram
